arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2018-01-02T23:57:00,United Airlines,1611,3,2
A,2018-01-02T23:58:00,American Airlines,2717,A25,4
D,2018-01-02T23:59:00,JetBlue Airways,602,26,3
A,2018-01-02T23:59:00,American Airlines,2072,A24,4
A,2018-01-03T00:10:00,Southwest Airlines,3949,C11,4
A,2018-01-03T00:04:00,American Airlines,839,A5,4
A,2018-01-03T00:04:00,Alaska Airlines,640,10,2
A,2018-01-03T00:05:00,American Airlines,861,A27,4
A,2018-01-03T00:05:00,American Airlines,2679,A14,4
A,2018-01-03T00:05:00,American Airlines,889,A11,4
A,2018-01-03T00:15:00,United Airlines,716,6B,2
A,2018-01-03T00:15:00,Frontier Airlines,753,26,3
A,2018-01-03T00:20:00,Southwest Airlines,2359,D8,4
A,2018-01-03T00:25:00,Southwest Airlines,6847,C18,4
A,2018-01-03T00:25:00,Southwest Airlines,8629,C2,4
D,2018-01-03T00:25:00,American Airlines,1398,A7,4
D,2018-01-03T00:30:00,American Airlines,2736,A4,4
A,2018-01-03T00:35:00,Southwest Airlines,5913,D3,4
D,2018-01-03T00:35:00,American Airlines,2020,B25,4
A,2018-01-03T00:37:00,Alaska Airlines,632,11,2
D,2018-01-03T00:40:00,American Airlines,809,B26,4
A,2018-01-03T00:41:00,United Airlines,377,8,2
A,2018-01-03T00:43:00,American Airlines,654,A3,4
D,2018-01-03T00:45:00,American Airlines,2026,A19,4
D,2018-01-03T00:45:00,Delta Air Lines,2160,19,3
A,2018-01-03T00:50:00,Southwest Airlines,5048,C19,4
D,2018-01-03T00:50:00,American Airlines,2063,A2,4
D,2018-01-03T00:50:00,American Airlines,5972,B18,4
D,2018-01-03T00:50:00,United Airlines,1453,8,2
A,2018-01-03T00:55:00,Southwest Airlines,1502,D5,4
A,2018-01-03T00:55:00,Southwest Airlines,6098,C3,4
D,2018-01-03T00:55:00,American Airlines,1512,A14,4
D,2018-01-03T00:55:00,American Airlines,1899,B28,4
D,2018-01-03T00:55:00,American Airlines,2691,A17,4
A,2018-01-03T00:57:00,American Airlines,609,A19,4
D,2018-01-03T00:59:00,American Airlines,408,A24,4
D,2018-01-03T00:59:00,American Airlines,1656,B8,4
A,2018-01-03T01:04:00,Spirit Airlines,971,2,2
A,2018-01-03T00:05:00,Frontier Airlines,1881,,3
A,2018-01-03T00:05:00,Southwest Airlines,891,,4
A,2018-01-03T00:40:00,Southwest Airlines,523,,4
A,2018-01-03T01:15:00,Southwest Airlines,1563,,4
A,2018-01-03T01:25:00,Southwest Airlines,5828,D1,4
A,2018-01-03T01:40:00,Southwest Airlines,5285,D6,4
A,2018-01-03T01:45:00,Southwest Airlines,1925,C6,4
D,2018-01-03T01:45:00,American Airlines,1556,A9,4
D,2018-01-03T01:57:00,Spirit Airlines,972,2,2
D,2018-01-03T02:20:00,American Airlines,655,A3,4
D,2018-01-03T05:00:00,American Airlines,605,A20,4
D,2018-01-03T05:15:00,United Airlines,859,8,2
D,2018-01-03T05:15:00,Southwest Airlines,9,C4,4
D,2018-01-03T05:15:00,Southwest Airlines,518,C6,4
D,2018-01-03T05:25:00,United Airlines,265,6B,2
D,2018-01-03T05:25:00,Southwest Airlines,1711,C13,4
D,2018-01-03T05:50:00,Southwest Airlines,121,D2,4
D,2018-01-03T05:55:00,Southwest Airlines,1080,C18,4
A,2018-01-02T13:16:00,Southwest Airlines,8502,C4,4
D,2018-01-03T06:00:00,American Airlines,632,A11,4
D,2018-01-03T06:00:00,Delta Air Lines,1747,19,3
D,2018-01-03T06:00:00,Southwest Airlines,403,D7,4
D,2018-01-03T06:00:00,Southwest Airlines,1540,C8,4
D,2018-01-03T06:00:00,Southwest Airlines,1898,C17,4
A,2018-01-03T06:04:00,American Airlines,673,A20,4
D,2018-01-03T06:05:00,United Airlines,582,5,2
D,2018-01-03T06:10:00,American Airlines,691,A29,4
D,2018-01-03T06:11:00,United Airlines,1774,8,2
D,2018-01-03T06:13:00,United Airlines,1600,3,2
D,2018-01-03T06:15:00,Southwest Airlines,210,C14,4
D,2018-01-03T06:20:00,American Airlines,1061,A25,4
D,2018-01-03T06:20:00,Frontier Airlines,740,20,3
D,2018-01-03T06:20:00,Southwest Airlines,1390,C2,4
D,2018-01-03T06:20:00,Southwest Airlines,1922,D6,4
D,2018-01-03T06:30:00,Delta Air Lines,1781,15,3
D,2018-01-03T06:30:00,Southwest Airlines,1573,D3,4
D,2018-01-03T06:35:00,United Airlines,781,6B,2
D,2018-01-03T06:35:00,Southwest Airlines,1974,C3,4
D,2018-01-03T06:40:00,American Airlines,2996,B15A,4
A,2018-01-02T11:35:00,Southwest Airlines,8505,C19,4
A,2018-01-02T14:40:00,Southwest Airlines,8504,C13,4
D,2018-01-03T06:45:00,Alaska Airlines,631,11,2
D,2018-01-03T06:45:00,Delta Air Lines,5710,18,3
D,2018-01-03T06:50:00,Frontier Airlines,1442,26,3
A,2018-01-03T06:58:00,American Airlines,693,B25,4
D,2018-01-03T07:00:00,Delta Air Lines,998,19,3
D,2018-01-03T07:00:00,Delta Air Lines,1994,17,3
D,2018-01-03T07:00:00,Southwest Airlines,433,C19,4
A,2018-01-03T07:00:00,Southwest Airlines,113,C6,4
